figure,layer,metric,n_pairs,mean_before,mean_after,mean_delta,median_delta,p05_delta,p95_delta,mean_pct_delta,decreased,unchanged,increased,changed,changed_pct
D,Confirmed 1:1 change magnitude,Gene span length,22873,3175.397892711931,3254.538888646002,79.14099593407074,66.0,-1388.0,1366.3999999999978,20.3010479186768,5190,3314,14369,19559,85.5113015345604
D,Confirmed 1:1 change magnitude,Model span length,22873,3175.397892711931,3254.1464171730863,78.74852446115507,66.0,-1388.0,1364.1999999999935,20.27480613444347,5191,3314,14368,19559,85.5113015345604
D,Confirmed 1:1 change magnitude,CDS length,22873,1231.5234118830062,3112.103134700302,1880.5797228172955,0.0,-114.0,9125.999999999967,115.83730212301812,2328,9318,11227,13555,59.26201197918943
D,Confirmed 1:1 change magnitude,Exon count,22873,5.531281423512438,15.586499366064793,10.055217942552355,0.0,-1.0,54.0,109.00896043996302,2192,10482,10199,12391,54.17304245179907
D,Confirmed 1:1 change magnitude,mRNA count,22873,1.0,2.1789008875092906,1.1789008875092903,0.0,0.0,6.0,117.89008875092904,0,13977,8896,8896,38.89301796878416
