figure,layer,metric,n_pairs,mean_before,mean_after,mean_delta,median_delta,p05_delta,p95_delta,mean_pct_delta,decreased,unchanged,increased,changed,changed_pct
D,Confirmed 1:1 change magnitude,Gene span length,20523,4410.177654339034,4291.2397310334745,-118.93792330555962,0.0,-1013.0,693.8999999999978,10.074942406090775,2940,15545,2038,4978,24.255713102372948
D,Confirmed 1:1 change magnitude,Model span length,20523,4332.071285874385,4290.97929152658,-41.0919943478049,0.0,-647.6999999999996,762.7999999999956,11.76326667600598,1620,16560,2343,3963,19.310042391463238
D,Confirmed 1:1 change magnitude,CDS length,20523,1213.7724504214784,1206.574331238123,-7.19811918335526,0.0,-39.0,0.8999999999978172,0.07618542806292601,1238,18258,1027,2265,11.036398187399502
D,Confirmed 1:1 change magnitude,Exon count,20523,5.6122886517565655,5.566194026214491,-0.046094625542074746,0.0,-1.0,0.0,-0.0848031261653036,1836,17689,998,2834,13.808897334697656
D,Confirmed 1:1 change magnitude,mRNA count,20523,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,20523,0,0,0.0
