figure,layer,metric,n_pairs,mean_before,mean_after,mean_delta,median_delta,p05_delta,p95_delta,mean_pct_delta,decreased,unchanged,increased,changed,changed_pct
D,Confirmed 1:1 change magnitude,Gene span length,24870,4273.207639726578,4263.847406513873,-9.360233212706072,0.0,-551.0,460.0,6.808315544820256,3660,17491,3719,7379,29.670285484519503
D,Confirmed 1:1 change magnitude,Model span length,24870,3737.492882991556,4259.572899075191,522.0800160836349,277.0,0.0,1929.5499999999993,28.966762738004704,453,8790,15627,16080,64.6562123039807
D,Confirmed 1:1 change magnitude,CDS length,24870,1158.1739445114597,1153.6221149979895,-4.551829513470044,0.0,0.0,0.0,-0.0007467140215137481,934,23561,375,1309,5.263369521511862
D,Confirmed 1:1 change magnitude,Exon count,24870,4.999597909127463,5.156212303980699,0.15661439485323683,0.0,0.0,1.0,5.92467980214837,686,20460,3724,4410,17.73220747889023
D,Confirmed 1:1 change magnitude,mRNA count,24870,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,24870,0,0,0.0
