figure,layer,metric,n_pairs,mean_before,mean_after,mean_delta,median_delta,p05_delta,p95_delta,mean_pct_delta,decreased,unchanged,increased,changed,changed_pct
D,Confirmed 1:1 change magnitude,Gene span length,96298,3010.001131903051,2939.8642131716133,-70.13691873143783,0.0,-901.0,749.0,6.047694394843192,21081,51292,23925,45006,46.736173129244634
D,Confirmed 1:1 change magnitude,Model span length,96298,3010.001131903051,2933.2358927495898,-76.76523915346112,0.0,-920.0,742.1499999999942,5.907671362288536,21239,51294,23765,45004,46.73409624291263
D,Confirmed 1:1 change magnitude,CDS length,96298,1131.317296309373,1238.7509294066335,107.43363309726058,0.0,-219.0,1032.0,10.024300535690807,12278,71663,12357,24635,25.582047394546098
D,Confirmed 1:1 change magnitude,Exon count,96298,5.229921701385283,6.463561029304866,1.233639327919583,0.0,-1.0,7.0,14.724928509230985,8233,75129,12936,21169,21.98280338117095
D,Confirmed 1:1 change magnitude,mRNA count,96298,1.0,1.159577561320069,0.15957756132006895,0.0,0.0,1.0,15.957756132006896,0,87275,9023,9023,9.369872686867847
