figure,layer,metric,n_pairs,mean_before,mean_after,mean_delta,median_delta,p05_delta,p95_delta,mean_pct_delta,decreased,unchanged,increased,changed,changed_pct
D,Confirmed 1:1 change magnitude,Gene span length,29305,2881.292816925439,2871.950929875448,-9.341887049991469,0.0,0.0,64.79999999999927,4.381448173908847,507,27270,1528,2035,6.944207473127453
D,Confirmed 1:1 change magnitude,Model span length,29305,2881.292816925439,2871.950929875448,-9.341887049991469,0.0,0.0,64.79999999999927,4.381448173908847,507,27270,1528,2035,6.944207473127453
D,Confirmed 1:1 change magnitude,CDS length,29305,1436.976625149292,1415.47053403856,-21.50609111073196,0.0,0.0,30.0,0.9835984382280811,774,26925,1606,2380,8.12148097594267
D,Confirmed 1:1 change magnitude,Exon count,29305,6.19174202354547,5.9034635727691525,-0.28827845077631803,0.0,-1.0,0.0,-2.3479980237517815,1754,27318,233,1987,6.780412898822727
D,Confirmed 1:1 change magnitude,mRNA count,29305,1.1617130182562703,1.1387817778536087,-0.022931240402661663,0.0,0.0,0.0,-0.8581625108668275,541,28764,0,541,1.846101347892851
