figure,layer,metric,n_pairs,mean_before,mean_after,mean_delta,median_delta,p05_delta,p95_delta,mean_pct_delta,decreased,unchanged,increased,changed,changed_pct
D,Confirmed 1:1 change magnitude,Gene span length,32478,3075.0310979740134,3023.579961820309,-51.45113615370405,0.0,-884.1499999999999,576.1499999999978,11.387876450490927,6378,21082,5018,11396,35.08836751031467
D,Confirmed 1:1 change magnitude,Model span length,32478,3074.930291274093,3023.578730217378,-51.35156105671531,0.0,-883.1499999999999,576.1499999999978,11.394893034448067,6371,21087,5020,11391,35.07297247367448
D,Confirmed 1:1 change magnitude,CDS length,32478,1954.5770059732743,1842.8431553667099,-111.73385060656445,0.0,-1287.4499999999996,1053.0,4.746879022691604,5605,22434,4439,10044,30.925549602808054
D,Confirmed 1:1 change magnitude,Exon count,32478,9.766087813288996,9.28702506311965,-0.4790627501693454,0.0,-5.0,6.0,8.322282262719664,4304,23769,4405,8709,26.81507481987807
D,Confirmed 1:1 change magnitude,mRNA count,32478,1.5992979863292074,1.6055483712051235,0.006250384875916005,0.0,-1.0,1.0,6.701365240278912,2005,27186,3287,5292,16.294106779974136
