figure,layer,category,before_genes,before_pct,after_genes,after_pct
B,Locus fate,Syntenic 1:1,32163.0,81.61955032228595,32163.0,79.7574765659872
B,Locus fate,Split,13.0,0.03298990001522611,26.0,0.06447453255963895
B,Locus fate,Merge,120.0,0.30452215398670257,60.0,0.148787382829936
B,Locus fate,Complex,22.0,0.055829061564228795,22.0,0.05455537370430987
B,Locus fate,Unresolved weak-overlap,3135.0,7.9556412729026045,3673.0,9.108267618905916
B,Locus fate,Strict deleted / novel,3953.0,10.031467289245292,4382.0,10.866438526012995
