figure,layer,metric,n_pairs,mean_before,mean_after,mean_delta,median_delta,p05_delta,p95_delta,mean_pct_delta,decreased,unchanged,increased,changed,changed_pct
D,Confirmed 1:1 change magnitude,Gene span length,34444,3993.503164556962,4231.9586865636975,238.45552200673558,0.0,-608.0,1585.699999999997,18.144419868764132,4065,20604,9775,13840,40.18116362791778
D,Confirmed 1:1 change magnitude,Model span length,34444,3993.0099872256415,4231.9586865636975,238.94869933805597,0.0,-603.0,1586.8499999999985,18.188782622893324,4032,20626,9786,13818,40.11729183602369
D,Confirmed 1:1 change magnitude,CDS length,34444,1255.158343978632,1510.399372895134,255.24102891650216,0.0,0.0,1755.0,18.783675765646795,1106,26820,6518,7624,22.134479154569735
D,Confirmed 1:1 change magnitude,Exon count,34444,5.095517361514342,6.453518755080711,1.3580013935663686,0.0,0.0,9.0,22.632190098361104,754,26610,7080,7834,22.744164440831494
D,Confirmed 1:1 change magnitude,mRNA count,34444,1.0,1.1520148647079318,0.1520148647079317,0.0,0.0,1.0,15.20148647079317,0,30195,4249,4249,12.335965625362908
