figure,layer,category,before_genes,before_pct,after_genes,after_pct
B,Locus fate,Syntenic 1:1,24639.0,94.17857961929516,24639.0,92.4297557864726
B,Locus fate,Split,16.0,0.06115740386820579,32.0,0.12004351577446824
B,Locus fate,Merge,2.0,0.007644675483525724,1.0,0.0037513598679521326
B,Locus fate,Complex,4.0,0.015289350967051448,4.0,0.01500543947180853
B,Locus fate,Unresolved weak-overlap,1103.0,4.216038529164437,1051.0,3.9426792212176918
B,Locus fate,Strict deleted / novel,398.0,1.5212904212216192,930.0,3.4887646771954834
