species,state,section,metric,value
Artemisia_annua,before,mrna,Shortest intron into exon part (bp),40.0
Artemisia_annua,before,mrna,Shortest intron into five_prime_utr part (bp),40.0
Artemisia_annua,before,mrna,Shortest intron into three_prime_utr part (bp),40.0
Artemisia_annua,before,ncrna,Number of gene,1743.0
Artemisia_annua,before,ncrna,Number of ncrna,1743.0
Artemisia_annua,before,ncrna,Number of exon,5027.0
Artemisia_annua,before,ncrna,Number of intron in exon,3284.0
Artemisia_annua,before,ncrna,Number gene overlapping,0.0
Artemisia_annua,before,ncrna,mean ncrnas per gene,1.0
Artemisia_annua,before,ncrna,mean exons per ncrna,2.9
Artemisia_annua,before,ncrna,mean introns in exons per ncrna,1.9
Artemisia_annua,before,ncrna,Total gene length (bp),4004007.0
Artemisia_annua,before,ncrna,Total ncrna length (bp),4004007.0
Artemisia_annua,before,ncrna,Total exon length (bp),1655450.0
Artemisia_annua,before,ncrna,Total intron length per exon (bp),2348557.0
Artemisia_annua,before,ncrna,mean gene length (bp),2297.0
Artemisia_annua,before,ncrna,mean ncrna length (bp),2297.0
Artemisia_annua,before,ncrna,mean exon length (bp),329.0
Artemisia_annua,before,ncrna,mean intron in exon length (bp),715.0
Artemisia_annua,before,ncrna,median gene length (bp),1483.0
Artemisia_annua,before,ncrna,median ncrna length (bp),1483.0
Artemisia_annua,before,ncrna,median exon length (bp),185.0
Artemisia_annua,before,ncrna,median intron in exon length (bp),200.0
Artemisia_annua,before,ncrna,90 percentile gene length (bp),4815.0
Artemisia_annua,before,ncrna,90 percentile ncrna length (bp),4815.0
Artemisia_annua,before,ncrna,90 percentile exon length (bp),776.0
Artemisia_annua,before,ncrna,90 percentile intron in exon length (bp),1487.0
Artemisia_annua,before,ncrna,Longest gene (bp),56921.0
Artemisia_annua,before,ncrna,Longest ncrna (bp),56921.0
Artemisia_annua,before,ncrna,Longest exon (bp),5353.0
Artemisia_annua,before,ncrna,Longest intron into exon part (bp),17735.0
Artemisia_annua,before,ncrna,Shortest gene (bp),250.0
Artemisia_annua,before,ncrna,Shortest ncrna (bp),250.0
Artemisia_annua,before,ncrna,Shortest intron into exon part (bp),40.0
Artemisia_annua,before,trna,Number of gene,1092.0
Artemisia_annua,before,trna,Number of trna,1092.0
Artemisia_annua,before,trna,Number gene overlapping,0.0
Artemisia_annua,before,trna,Number of single exon gene,1092.0
Artemisia_annua,before,trna,mean trnas per gene,1.0
Artemisia_annua,before,trna,Total gene length (bp),84000.0
Artemisia_annua,before,trna,Total trna length (bp),84000.0
Artemisia_annua,before,trna,mean gene length (bp),77.0
Artemisia_annua,before,trna,mean trna length (bp),77.0
Artemisia_annua,before,trna,median gene length (bp),75.0
Artemisia_annua,before,trna,median trna length (bp),75.0
Artemisia_annua,before,trna,90 percentile gene length (bp),86.0
Artemisia_annua,before,trna,90 percentile trna length (bp),86.0
Artemisia_annua,before,trna,Longest gene (bp),112.0
Artemisia_annua,before,trna,Longest trna (bp),112.0
Artemisia_annua,before,trna,Shortest gene (bp),60.0
Artemisia_annua,before,trna,Shortest trna (bp),60.0
Artemisia_annua,after,mrna,Number of gene,39322.0
Artemisia_annua,after,mrna,Number of mrna,39322.0
Artemisia_annua,after,mrna,Number of mrnas with utr both sides,32948.0
Artemisia_annua,after,mrna,Number of mrnas with at least one utr,37329.0
Artemisia_annua,after,mrna,Number of cds,39322.0
Artemisia_annua,after,mrna,Number of exon,203145.0
Artemisia_annua,after,mrna,Number of five_prime_utr,34818.0
Artemisia_annua,after,mrna,Number of three_prime_utr,35459.0
Artemisia_annua,after,mrna,Number of exon in cds,183050.0
Artemisia_annua,after,mrna,Number of exon in five_prime_utr,46487.0
Artemisia_annua,after,mrna,Number of exon in three_prime_utr,43627.0
Artemisia_annua,after,mrna,Number of intron in cds,143728.0
Artemisia_annua,after,mrna,Number of intron in exon,163823.0
Artemisia_annua,after,mrna,Number of intron in five_prime_utr,11669.0
